index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
93,拜托了冰箱 第四季,胡悦,"何炅,王嘉尔,黄磊,张杰,马天宇",6.9,https://movie.douban.com/subject/30204135/, 中国大陆, 汉语普通话,2018
94,花样青春：WINNER篇,罗英石,"姜昇润,宋旻浩,李昇勋,金秦禹,罗英石",9.1,https://movie.douban.com/subject/27168792/, 韩国, 韩语,2017
95,晓说2018,,"高晓松,徐克,吴宇森,冯小刚,樊建川",8.6,https://movie.douban.com/subject/30129066/, 中国大陆, 汉语普通话 / 英语 / 粤语,2018
96,歌手2018,"洪涛,洪啸","汪峰,张韶涵,洁茜J ,李圣杰,周延",6.6,https://movie.douban.com/subject/27180851/, 中国大陆, 汉语普通话,2018
97,街头美食斗士,朴熙妍,白钟元,9.3,https://movie.douban.com/subject/30207995/, 韩国, 韩语,2018
98,了不起的挑战,陈涤,"撒贝宁,华少,乐嘉,阮经天,沙溢",8.8,https://movie.douban.com/subject/26347994/, 中国大陆 / 韩国, 汉语普通话,2015
99,我们的师父,孔晓一,"于晓光,大张伟,刘宇宁,董思成,牛犇",6.5,https://movie.douban.com/subject/30464904/, 中国大陆, 汉语普通话,2019
100,PRODUCE 48,安俊英,"李昇基,李弘基,金恩英,姜智贤,姜丹尼尔",6.4,https://movie.douban.com/subject/27608490/, 韩国, 韩语,2018
101,我是歌手 第一季,洪涛,"陈羽凡,胡海泉,尚雯婕,黄贯中,沙宝亮",7.9,https://movie.douban.com/subject/21966374/, 中国大陆, 汉语普通话,2013
102,奔跑吧兄弟 第二季,岑俊义,"邓超,杨颖,郑恺,李晨,王祖蓝",6.3,https://movie.douban.com/subject/26279203/, 中国大陆, 汉语普通话,2015
103,奇葩说 第三季,"牟頔,梁怡,马东","蔡康永,马东,高晓松,王嫣芸,马薇薇",8.6,https://movie.douban.com/subject/26581134/, 中国大陆, 汉语普通话,2016
104,吐槽大会 第三季,孙忠怀,"张绍刚,李诞,池子,程璐,王建国",6.2,https://movie.douban.com/subject/30362309/, 中国大陆, 汉语普通话,2018
105,一本好书,关正文,"赵立新,黄维德,何雨桐,赵晏博,陈晓楠",9.2,https://movie.douban.com/subject/30337114/, 中国大陆, 汉语普通话,2018
106,这！就是灌篮,朱玲,"周杰伦,李易峰,林书豪,郭艾伦,易建联",8.0,https://movie.douban.com/subject/30201077/, 中国大陆, 汉语普通话,2018
107,花样青春：非洲篇,罗英石,"柳俊烈,安在洪,高庚杓,朴宝剑",9.4,https://movie.douban.com/subject/26715586/, 韩国, 韩语,2016
108,PRODUCE 101 第二季,安俊英,"宝儿,李硕薰,申宥美,朴嘉熙,权宰胜",8.6,https://movie.douban.com/subject/27000583/, 韩国, 韩语,2017
109,粉雄救兵 第二季,,"安东尼·波罗夫斯基,鲍比·伯克,卡拉莫·布朗,乔纳森·凡·奈斯,谭·法郎士",9.4,https://movie.douban.com/subject/30180156/, 美国, 英语,2018
110,非正式会谈 第3.5季,"万龙华,马骁,陶瑶,赵琛,宋晓莉,古雪颖","大左,杨迪,陈铭,贝乐泰,功必扬",8.5,https://movie.douban.com/subject/27602135/, 中国大陆, 汉语普通话,2017
111,我家那小子 第一季,陈歆宇,"陈学冬,钱枫,武艺,朱雨辰,徐海乔",6.7,https://movie.douban.com/subject/30259902/, 中国大陆, 汉语普通话,2018
112,拜托了冰箱 第四季,胡悦,"何炅,王嘉尔,黄磊,张杰,马天宇",6.9,https://movie.douban.com/subject/30204135/, 中国大陆, 汉语普通话,2018
113,花样青春：WINNER篇,罗英石,"姜昇润,宋旻浩,李昇勋,金秦禹,罗英石",9.1,https://movie.douban.com/subject/27168792/, 韩国, 韩语,2017
114,晓说2018,,"高晓松,徐克,吴宇森,冯小刚,樊建川",8.6,https://movie.douban.com/subject/30129066/, 中国大陆, 汉语普通话 / 英语 / 粤语,2018
115,歌手2018,"洪涛,洪啸","汪峰,张韶涵,洁茜J ,李圣杰,周延",6.6,https://movie.douban.com/subject/27180851/, 中国大陆, 汉语普通话,2018
116,街头美食斗士,朴熙妍,白钟元,9.3,https://movie.douban.com/subject/30207995/, 韩国, 韩语,2018
117,了不起的挑战,陈涤,"撒贝宁,华少,乐嘉,阮经天,沙溢",8.8,https://movie.douban.com/subject/26347994/, 中国大陆 / 韩国, 汉语普通话,2015
118,我们的师父,孔晓一,"于晓光,大张伟,刘宇宁,董思成,牛犇",6.5,https://movie.douban.com/subject/30464904/, 中国大陆, 汉语普通话,2019
119,PRODUCE 48,安俊英,"李昇基,李弘基,金恩英,姜智贤,姜丹尼尔",6.4,https://movie.douban.com/subject/27608490/, 韩国, 韩语,2018
120,中餐厅 第一季,王恬,"赵薇,黄晓明,周冬雨,张亮,靳梦佳",6.2,https://movie.douban.com/subject/27079327/, 中国大陆, 汉语普通话,2017
121,奔跑吧兄弟 第二季,岑俊义,"邓超,杨颖,郑恺,李晨,王祖蓝",6.3,https://movie.douban.com/subject/26279203/, 中国大陆, 汉语普通话,2015
122,奇葩说 第三季,"牟頔,梁怡,马东","蔡康永,马东,高晓松,王嫣芸,马薇薇",8.6,https://movie.douban.com/subject/26581134/, 中国大陆, 汉语普通话,2016
123,吐槽大会 第三季,孙忠怀,"张绍刚,李诞,池子,程璐,王建国",6.2,https://movie.douban.com/subject/30362309/, 中国大陆, 汉语普通话,2018
124,一本好书,关正文,"赵立新,黄维德,何雨桐,赵晏博,陈晓楠",9.2,https://movie.douban.com/subject/30337114/, 中国大陆, 汉语普通话,2018
125,这！就是灌篮,朱玲,"周杰伦,李易峰,林书豪,郭艾伦,易建联",8.0,https://movie.douban.com/subject/30201077/, 中国大陆, 汉语普通话,2018
126,花样青春：非洲篇,罗英石,"柳俊烈,安在洪,高庚杓,朴宝剑",9.4,https://movie.douban.com/subject/26715586/, 韩国, 韩语,2016
127,PRODUCE 101 第二季,安俊英,"宝儿,李硕薰,申宥美,朴嘉熙,权宰胜",8.6,https://movie.douban.com/subject/27000583/, 韩国, 韩语,2017
128,粉雄救兵 第二季,,"安东尼·波罗夫斯基,鲍比·伯克,卡拉莫·布朗,乔纳森·凡·奈斯,谭·法郎士",9.4,https://movie.douban.com/subject/30180156/, 美国, 英语,2018
129,非正式会谈 第3.5季,"万龙华,马骁,陶瑶,赵琛,宋晓莉,古雪颖","大左,杨迪,陈铭,贝乐泰,功必扬",8.5,https://movie.douban.com/subject/27602135/, 中国大陆, 汉语普通话,2017
130,我家那小子 第一季,陈歆宇,"陈学冬,钱枫,武艺,朱雨辰,徐海乔",6.7,https://movie.douban.com/subject/30259902/, 中国大陆, 汉语普通话,2018
131,拜托了冰箱 第四季,胡悦,"何炅,王嘉尔,黄磊,张杰,马天宇",6.9,https://movie.douban.com/subject/30204135/, 中国大陆, 汉语普通话,2018
132,花样青春：WINNER篇,罗英石,"姜昇润,宋旻浩,李昇勋,金秦禹,罗英石",9.1,https://movie.douban.com/subject/27168792/, 韩国, 韩语,2017
133,晓说2018,,"高晓松,徐克,吴宇森,冯小刚,樊建川",8.6,https://movie.douban.com/subject/30129066/, 中国大陆, 汉语普通话 / 英语 / 粤语,2018
