index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
46,灵能百分百,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,细谷佳正",9.3,https://movie.douban.com/subject/26677934/, 日本, 日语,2016
47,灵能百分百 II,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,松冈祯丞",9.6,https://movie.douban.com/subject/27011763/, 日本, 日语,2019
48,瑞克和莫蒂 第二季,"韦斯利·阿彻,皮特·米歇尔斯","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,科甘-迈克尔·凯",9.8,https://movie.douban.com/subject/25865470/, 美国, 英语,2015
49,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,畠山守,"古贺葵,古川慎,小原好美,铃木崚汰,花守由美里",9.0,https://movie.douban.com/subject/30241099/, 日本, 日语,2019
50,我的英雄学院 第1季,长崎健司,"山下大辉,三宅健太,冈本信彦,石川界人,佐仓绫音",8.9,https://movie.douban.com/subject/26653375/, 日本, 日语,2016
51,我的英雄学院 第3季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.3,https://movie.douban.com/subject/27160633/, 日本, 日语,2018
52,我们仍未知道那天所看见的花的名字,长井龙雪,"入野自由,茅野爱衣,户松遥,樱井孝宏,早见沙织",8.7,https://movie.douban.com/subject/5397537/, 日本, 日语,2011
53,约定的梦幻岛,神户守,"诸星堇,伊濑茉莉也,内田真礼,甲斐田裕子,藤田奈央",9.3,https://movie.douban.com/subject/30206430/, 日本, 日语,2019
54,魔道祖师,熊可,"阿杰,边江,郭浩然,刘三木,苏尚卿",8.9,https://movie.douban.com/subject/27015848/, 中国大陆, 汉语普通话,2018
55,强风吹拂,野村和也,"大冢刚央,丰永利行,榎木淳弥,上村祐翔,内山昂辉",9.6,https://movie.douban.com/subject/30238385/, 日本, 日语,2018
56,一人之下 第一季,"李豪凌,王昕","田丸笃志,饭田友子,早见沙织,野岛健儿,立花慎之介",8.7,https://movie.douban.com/subject/26815153/, 中国大陆 / 日本, 日语 / 汉语普通话,2016
57,我的英雄学院 第2季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.2,https://movie.douban.com/subject/26827706/, 日本, 日语,2017
58,卡罗尔与星期二,"渡边信一郎,堀元宣","岛袋美由利,市之濑加那,大塚明夫,入野自由,上坂堇",9.4,https://movie.douban.com/subject/30163813/, 日本, 日语,2019
59,齐木楠雄的灾难,樱井弘明,"神谷浩史,小野大辅,岛崎信长,岩田光央,爱河里花子",9.3,https://movie.douban.com/subject/26801048/, 日本, 日语,2016
60,在下坂本，有何贵干？,高松信司,"绿川光,石田彰,杉田智和,武内健,堀江由衣",8.2,https://movie.douban.com/subject/26708698/, 日本, 日语,2016
61,瑞克和莫蒂 第一季,贾斯汀·罗兰,"贾斯汀·罗兰,汤姆·肯尼,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克",9.7,https://movie.douban.com/subject/11537954/, 美国, 英语,2013
62,瑞克和莫蒂 第三季,"贾斯汀·罗兰,Juan Jose Meza-Leon","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,内森·菲利安",9.8,https://movie.douban.com/subject/26592971/, 美国, 英语,2017
63,一拳超人 第二季,樱井亲良,"古川慎,石川界人,梶裕贵,悠木碧,山路和弘",7.7,https://movie.douban.com/subject/26882339/, 日本, 日语,2019
64,斗破苍穹特别篇2,赵丙乐,"谢添天,冯骏骅,袁国庆,王宇航,刘北辰",8.6,https://movie.douban.com/subject/30222889/, 中国大陆, 汉语普通话,2019
65,灵能百分百,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,细谷佳正",9.3,https://movie.douban.com/subject/26677934/, 日本, 日语,2016
66,灵能百分百 II,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,松冈祯丞",9.6,https://movie.douban.com/subject/27011763/, 日本, 日语,2019
67,瑞克和莫蒂 第二季,"韦斯利·阿彻,皮特·米歇尔斯","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,科甘-迈克尔·凯",9.8,https://movie.douban.com/subject/25865470/, 美国, 英语,2015
68,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,畠山守,"古贺葵,古川慎,小原好美,铃木崚汰,花守由美里",9.0,https://movie.douban.com/subject/30241099/, 日本, 日语,2019
69,我的英雄学院 第1季,长崎健司,"山下大辉,三宅健太,冈本信彦,石川界人,佐仓绫音",8.9,https://movie.douban.com/subject/26653375/, 日本, 日语,2016
70,我的英雄学院 第3季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.3,https://movie.douban.com/subject/27160633/, 日本, 日语,2018
71,我们仍未知道那天所看见的花的名字,长井龙雪,"入野自由,茅野爱衣,户松遥,樱井孝宏,早见沙织",8.7,https://movie.douban.com/subject/5397537/, 日本, 日语,2011
72,约定的梦幻岛,神户守,"诸星堇,伊濑茉莉也,内田真礼,甲斐田裕子,藤田奈央",9.3,https://movie.douban.com/subject/30206430/, 日本, 日语,2019
73,魔道祖师,熊可,"阿杰,边江,郭浩然,刘三木,苏尚卿",8.9,https://movie.douban.com/subject/27015848/, 中国大陆, 汉语普通话,2018
74,强风吹拂,野村和也,"大冢刚央,丰永利行,榎木淳弥,上村祐翔,内山昂辉",9.6,https://movie.douban.com/subject/30238385/, 日本, 日语,2018
75,一人之下 第一季,"李豪凌,王昕","田丸笃志,饭田友子,早见沙织,野岛健儿,立花慎之介",8.7,https://movie.douban.com/subject/26815153/, 中国大陆 / 日本, 日语 / 汉语普通话,2016
76,我的英雄学院 第2季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.2,https://movie.douban.com/subject/26827706/, 日本, 日语,2017
77,卡罗尔与星期二,"渡边信一郎,堀元宣","岛袋美由利,市之濑加那,大塚明夫,入野自由,上坂堇",9.4,https://movie.douban.com/subject/30163813/, 日本, 日语,2019
78,齐木楠雄的灾难,樱井弘明,"神谷浩史,小野大辅,岛崎信长,岩田光央,爱河里花子",9.3,https://movie.douban.com/subject/26801048/, 日本, 日语,2016
79,在下坂本，有何贵干？,高松信司,"绿川光,石田彰,杉田智和,武内健,堀江由衣",8.2,https://movie.douban.com/subject/26708698/, 日本, 日语,2016
80,轻松小熊和小薰,小林雅仁,"多部未华子,松本惣己,山田孝之,金泽舞",9.2,https://movie.douban.com/subject/27176022/, 日本, 日语,2019
81,瑞克和莫蒂 第三季,"贾斯汀·罗兰,Juan Jose Meza-Leon","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,内森·菲利安",9.8,https://movie.douban.com/subject/26592971/, 美国, 英语,2017
82,一拳超人 第二季,樱井亲良,"古川慎,石川界人,梶裕贵,悠木碧,山路和弘",7.7,https://movie.douban.com/subject/26882339/, 日本, 日语,2019
83,斗破苍穹特别篇2,赵丙乐,"谢添天,冯骏骅,袁国庆,王宇航,刘北辰",8.6,https://movie.douban.com/subject/30222889/, 中国大陆, 汉语普通话,2019
84,灵能百分百,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,细谷佳正",9.3,https://movie.douban.com/subject/26677934/, 日本, 日语,2016
85,灵能百分百 II,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,松冈祯丞",9.6,https://movie.douban.com/subject/27011763/, 日本, 日语,2019
86,瑞克和莫蒂 第二季,"韦斯利·阿彻,皮特·米歇尔斯","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,科甘-迈克尔·凯",9.8,https://movie.douban.com/subject/25865470/, 美国, 英语,2015
87,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,畠山守,"古贺葵,古川慎,小原好美,铃木崚汰,花守由美里",9.0,https://movie.douban.com/subject/30241099/, 日本, 日语,2019
88,我的英雄学院 第1季,长崎健司,"山下大辉,三宅健太,冈本信彦,石川界人,佐仓绫音",8.9,https://movie.douban.com/subject/26653375/, 日本, 日语,2016
89,我的英雄学院 第3季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.3,https://movie.douban.com/subject/27160633/, 日本, 日语,2018
90,我们仍未知道那天所看见的花的名字,长井龙雪,"入野自由,茅野爱衣,户松遥,樱井孝宏,早见沙织",8.7,https://movie.douban.com/subject/5397537/, 日本, 日语,2011
91,约定的梦幻岛,神户守,"诸星堇,伊濑茉莉也,内田真礼,甲斐田裕子,藤田奈央",9.3,https://movie.douban.com/subject/30206430/, 日本, 日语,2019
92,魔道祖师,熊可,"阿杰,边江,郭浩然,刘三木,苏尚卿",8.9,https://movie.douban.com/subject/27015848/, 中国大陆, 汉语普通话,2018
93,强风吹拂,野村和也,"大冢刚央,丰永利行,榎木淳弥,上村祐翔,内山昂辉",9.6,https://movie.douban.com/subject/30238385/, 日本, 日语,2018
94,一人之下 第一季,"李豪凌,王昕","田丸笃志,饭田友子,早见沙织,野岛健儿,立花慎之介",8.7,https://movie.douban.com/subject/26815153/, 中国大陆 / 日本, 日语 / 汉语普通话,2016
95,我的英雄学院 第2季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.2,https://movie.douban.com/subject/26827706/, 日本, 日语,2017
96,卡罗尔与星期二,"渡边信一郎,堀元宣","岛袋美由利,市之濑加那,大塚明夫,入野自由,上坂堇",9.4,https://movie.douban.com/subject/30163813/, 日本, 日语,2019
97,齐木楠雄的灾难,樱井弘明,"神谷浩史,小野大辅,岛崎信长,岩田光央,爱河里花子",9.3,https://movie.douban.com/subject/26801048/, 日本, 日语,2016
98,在下坂本，有何贵干？,高松信司,"绿川光,石田彰,杉田智和,武内健,堀江由衣",8.2,https://movie.douban.com/subject/26708698/, 日本, 日语,2016
99,轻松小熊和小薰,小林雅仁,"多部未华子,松本惣己,山田孝之,金泽舞",9.2,https://movie.douban.com/subject/27176022/, 日本, 日语,2019
100,一人之下 第二季,王昕,"曹云图,小连杀,彭尧,宝木中阳,阿杰",9.2,https://movie.douban.com/subject/27034748/, 中国大陆, 汉语普通话,2017
101,一拳超人 第二季,樱井亲良,"古川慎,石川界人,梶裕贵,悠木碧,山路和弘",7.7,https://movie.douban.com/subject/26882339/, 日本, 日语,2019
102,斗破苍穹特别篇2,赵丙乐,"谢添天,冯骏骅,袁国庆,王宇航,刘北辰",8.6,https://movie.douban.com/subject/30222889/, 中国大陆, 汉语普通话,2019
103,灵能百分百,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,细谷佳正",9.3,https://movie.douban.com/subject/26677934/, 日本, 日语,2016
104,灵能百分百 II,立川让,"伊藤节生,樱井孝宏,大塚明夫,入野自由,松冈祯丞",9.6,https://movie.douban.com/subject/27011763/, 日本, 日语,2019
105,瑞克和莫蒂 第二季,"韦斯利·阿彻,皮特·米歇尔斯","贾斯汀·罗兰,克里斯·帕内尔,斯宾瑟·格拉默,萨拉·乔克,科甘-迈克尔·凯",9.8,https://movie.douban.com/subject/25865470/, 美国, 英语,2015
106,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,畠山守,"古贺葵,古川慎,小原好美,铃木崚汰,花守由美里",9.0,https://movie.douban.com/subject/30241099/, 日本, 日语,2019
107,我的英雄学院 第1季,长崎健司,"山下大辉,三宅健太,冈本信彦,石川界人,佐仓绫音",8.9,https://movie.douban.com/subject/26653375/, 日本, 日语,2016
108,我的英雄学院 第3季,长崎健司,"山下大辉,三宅健太,冈本信彦,佐仓绫音,石川界人",9.3,https://movie.douban.com/subject/27160633/, 日本, 日语,2018
109,我们仍未知道那天所看见的花的名字,长井龙雪,"入野自由,茅野爱衣,户松遥,樱井孝宏,早见沙织",8.7,https://movie.douban.com/subject/5397537/, 日本, 日语,2011
110,约定的梦幻岛,神户守,"诸星堇,伊濑茉莉也,内田真礼,甲斐田裕子,藤田奈央",9.3,https://movie.douban.com/subject/30206430/, 日本, 日语,2019
111,魔道祖师,熊可,"阿杰,边江,郭浩然,刘三木,苏尚卿",8.9,https://movie.douban.com/subject/27015848/, 中国大陆, 汉语普通话,2018
